om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt,edat,etime
2502151922-01,2025,02,15,2025-02-15,19:22:00,3,MS,28,0,57.0000,0,0,0,0,33.4900,-90.9800,33.4900,-90.9800,0,0,0,0,0,151,0,0,0,MG,2025-02-15,19:22:00
2502151937-01,2025,02,15,2025-02-15,19:37:00,3,TN,47,0,50.0000,0,0,500,0,36.3400,-88.3200,36.3400,-88.3200,0,0,0,0,0,79,0,0,0,EG,2025-02-15,19:42:00
2502151940-01,2025,02,15,2025-02-15,19:40:00,3,LA,22,0,52.0000,0,0,0,0,31.9438,-92.5924,31.9438,-92.5924,0,0,0,0,0,127,0,0,0,EG,2025-02-15,19:40:00
2502151948-01,2025,02,15,2025-02-15,19:48:00,3,MS,28,0,50.0000,0,0,0,0,33.7600,-90.7600,33.7600,-90.7600,0,0,0,0,0,11,0,0,0,MG,2025-02-15,19:48:00
2502151951-01,2025,02,15,2025-02-15,19:51:00,3,LA,22,0,52.0000,0,0,0,0,32.4862,-92.1679,32.4862,-92.1679,0,0,0,0,0,73,0,0,0,EG,2025-02-15,19:51:00
2502152000-01,2025,02,15,2025-02-15,20:00:00,3,LA,22,0,52.0000,0,0,0,0,32.3801,-92.0494,32.3801,-92.0494,0,0,0,0,0,73,0,0,0,EG,2025-02-15,20:00:00
2502152011-01,2025,02,15,2025-02-15,20:11:00,3,LA,22,0,52.0000,0,0,0,0,32.1130,-92.0670,32.1130,-92.0670,0,0,0,0,0,21,0,0,0,EG,2025-02-15,20:11:00
2502152016-01,2025,02,15,2025-02-15,20:16:00,3,LA,22,0,52.0000,0,0,0,0,31.9819,-92.1781,31.9819,-92.1781,0,0,0,0,0,21,0,0,0,EG,2025-02-15,20:16:00
2502152019-01,2025,02,15,2025-02-15,20:19:00,3,LA,22,0,50.0000,0,0,5000,0,32.7800,-91.7800,32.7800,-91.7800,0,0,0,0,0,67,0,0,0,EG,2025-02-15,20:19:00
2502152030-01,2025,02,15,2025-02-15,20:30:00,3,LA,22,0,53.0000,0,0,6000,0,32.6817,-91.5428,32.6817,-91.5428,0,0,0,0,0,123,0,0,0,EG,2025-02-15,20:30:00
2502152035-01,2025,02,15,2025-02-15,20:35:00,3,LA,22,0,53.0000,0,0,7000,0,32.1600,-91.7200,32.1600,-91.7200,0,0,0,0,0,41,0,0,0,EG,2025-02-15,20:35:00
2502152045-01,2025,02,15,2025-02-15,20:45:00,3,MS,28,0,50.0000,0,0,500,0,34.2780,-89.3896,34.2780,-89.3896,0,0,0,0,0,71,0,0,0,EG,2025-02-15,20:50:00
